City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Sao Joao Da Barra,BR,82.49,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
556,Rivadavia,AR,87.26,clear sky,-33.1905,-68.4608,Hotel Pasambay
558,Palmas,BR,85.98,thunderstorm with light rain,-10.2128,-48.3603,Hotel Triângulo Mineiro
564,Marsh Harbour,BS,76.33,clear sky,26.5412,-77.0636,Lofty Fig Villas
566,Lodwar,KE,82.9,clear sky,3.1191,35.5973,Lodwar Modern Lodge
569,Santa Isabel Do Rio Negro,BR,71.8,moderate rain,-0.4139,-65.0192,Hotel Maikon
570,Kaduqli,SD,77.23,broken clouds,11.0167,29.7167,South Kordofan Hotel
574,Alappuzha,IN,75.94,clear sky,9.49,76.3264,Unnis Hotel
575,New Bern,US,73.42,clear sky,35.1085,-77.0441,DoubleTree by Hilton
581,Hervey Bay,AU,74.79,clear sky,-25.2986,152.8535,Hervey Bay Hotel
587,Lorengau,PG,82.83,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
601,Correntina,BR,75.24,overcast clouds,-13.3433,-44.6367,Pousada Silva
602,Vanimo,PG,77.16,overcast clouds,-2.6741,141.3028,CBC Guesthouse
606,Champerico,GT,82.4,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
607,Eyl,SO,76.84,scattered clouds,7.9803,49.8164,فندق ايل دابي
616,Bobo Dioulasso,BF,72.43,few clouds,11.1771,-4.2979,Teria
617,Acajutla,SV,83.93,scattered clouds,13.5928,-89.8275,Hotel Lara
619,Itarema,BR,81.52,overcast clouds,-2.9248,-39.9167,Pousada Oásis
624,Meulaboh,ID,75.42,overcast clouds,4.1363,96.1285,Hotel Meuligou
632,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,Khách sạn Thái Bình
639,Bartica,GY,82.72,overcast clouds,6.4,-58.6167,Rockville Hotel
640,Sokolo,ML,74.59,broken clouds,14.7328,-6.1219,Mairie de la Commune de Sokolo
641,La Libertad,EC,78.46,few clouds,-2.2333,-80.9,Hotel Mar Caribe
645,Limbe,CM,80.69,overcast clouds,4.0242,9.2149,WILLY MERCY HOTEL
647,Daru,PG,77.72,overcast clouds,-9.0763,143.2092,Kuki
649,Barabai,ID,73.87,moderate rain,-2.5833,115.3833,Hotel Bouraq
651,Pemba,MZ,75.45,light rain,-12.974,40.5178,Hotel Rafael
653,Mananjary,MG,75.58,light rain,-21.2167,48.3333,Ideal Hotel Annexe
656,Salinopolis,BR,81.32,few clouds,-0.6136,-47.3561,Hotel Salinópolis
657,Caravelas,BR,80.55,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
658,Wilmington,US,73.99,clear sky,34.2257,-77.9447,Hell's Kitchen
668,Pangai,TO,79.99,overcast clouds,-19.8,-174.35,Billy's Place
672,Cumana,VE,78.98,scattered clouds,10.4635,-64.1775,Hotel Regina
685,Irece,BR,76.03,overcast clouds,-11.3042,-41.8558,Hotel Caraíbas
687,Pinar Del Rio,CU,82.51,broken clouds,22.4175,-83.6981,Hotel Vueltabajo
691,Mbandaka,CD,75.11,overcast clouds,0.0487,18.2603,Hôtel Epervier
