City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vardo,NO,2022-12-31 01:06:48,70.3705,31.1107,28.38,80,100,25.32
68,Phan Thiet,VN,2022-12-31 01:06:49,10.9333,108.1,74.48,61,100,2.24
69,Iberia,US,2022-12-31 01:06:49,29.9502,-91.7507,63.03,88,100,8.05
70,Vaini,TO,2022-12-31 01:06:49,-21.2,-175.2,77.16,94,100,1.14
71,Sorland,NO,2022-12-31 01:06:50,67.667,12.6934,42.66,68,100,26.26
72,Luanda,AO,2022-12-31 01:06:51,-8.8368,13.2343,77.02,84,100,5.53
73,Upernavik,GL,2022-12-31 01:06:52,72.7868,-56.1549,-8.77,88,100,5.03
74,Mahanoro,MG,2022-12-31 01:06:53,-19.9,48.8,72.93,84,11,3.76
75,Pafos,CY,2022-12-31 01:06:34,34.7667,32.4167,49.78,57,0,8.05
76,Kudahuvadhoo,MV,2022-12-31 01:06:54,2.6708,72.8944,81.7,72,6,15.01
77,Birjand,IR,2022-12-31 01:06:55,32.8663,59.2211,37.35,38,100,2.48
78,Pilot Butte,CA,2022-12-31 01:06:55,50.4668,-104.4178,13.66,78,15,10.45
79,Lebu,CL,2022-12-31 01:06:55,-37.6167,-73.65,58.1,82,0,20.07
80,Thompson,CA,2022-12-31 01:03:44,55.7435,-97.8558,0.07,100,99,1.59
81,Arlit,NE,2022-12-31 01:06:57,18.7369,7.3853,59.5,20,14,7.99
82,San Quintin,MX,2022-12-31 01:06:58,30.4833,-115.95,60.71,89,13,10.92
83,Punta Arenas,CL,2022-12-31 01:06:58,-53.15,-70.9167,51.12,57,0,26.46
84,Westport,US,2022-12-31 01:06:59,41.1415,-73.3579,48.56,81,88,4.79
85,Daru,PG,2022-12-31 01:06:59,-9.0763,143.2092,78.98,84,100,9.6
86,Sao Jose Da Coroa Grande,BR,2022-12-31 01:07:00,-8.8978,-35.1478,77.9,81,13,9.64
87,Saldanha,ZA,2022-12-31 01:07:01,-33.0117,17.9442,62.98,73,0,13.82
88,Chapais,CA,2022-12-31 01:07:01,49.7834,-74.8492,40.78,99,100,11.25
89,Biak,ID,2022-12-31 01:07:01,-0.9131,122.8766,81.57,73,100,4.36
90,Guane,CU,2022-12-31 01:08:02,22.2025,-84.0875,74.37,89,0,6.89
91,Buala,SB,2022-12-31 01:08:02,-8.145,159.5921,86.14,66,91,9.71
